id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
168,7,1,13.79,2672.0,-0.00840435541219306,7.7,7.7,457.0,2.8
171,2,1,,3052.0,0.004772453507341429,4.6,11.3,,3.1
177,7,3,13.79,,-0.05216005836619106,7.7,7.7,457.0,5.0
182,7,1,12.07,3038.0,0.000237363435682314,1.9,1.9,696.0,3.6
183,9,3,15.17,2685.0,-0.016087654039914523,,9.5,,3.5
185,8,3,13.79,2021.0,-0.02363926494291313,,,,3.9
186,7,3,10.34,3960.0,-0.03720546222582222,10.3,,762.0,5.5
188,7,3,13.79,1351.0,0.006166331218326049,7.7,7.7,457.0,2.2
190,10,3,13.79,3974.0,-0.04472144827864799,1.9,1.9,152.0,3.9
192,7,3,,4096.0,-0.023329700972789358,,10.8,432.0,4.4
200,7,3,13.79,3648.0,-0.0338323923491185,1.9,1.9,152.0,3.3
203,7,3,13.79,1260.0,0.014453867161774603,7.8,7.8,591.0,2.0
204,7,3,,4001.0,-0.004758240994117258,,10.3,794.0,3.2
206,2,0,6.89,1519.0,0.06483496001588228,12.7,42.3,1778.0,3.2
207,2,0,6.89,833.0,0.019815248158195187,12.7,38.1,737.0,4.3
209,7,1,6.93,4042.0,0.07744654745969248,10.8,10.8,3048.0,4.7
210,7,3,13.79,3933.0,-0.020129343627266982,,1.9,696.0,3.2
211,0,0,,,0.058114526417314155,,15.2,2134.0,2.2
214,7,3,6.89,5221.0,-0.017624598187574614,10.3,10.3,762.0,5.4
215,10,0,11.03,2740.0,0.08873028914593947,5.6,,2134.0,1.6
216,10,0,,2740.0,0.07847989295829616,5.6,15.2,2134.0,2.1
218,10,1,14.0,2200.0,0.02990751686371171,10.0,10.0,565.0,1.0
221,8,3,13.79,2645.0,0.0037333101162548843,7.7,7.7,457.0,1.9
223,7,3,,4069.0,0.042962860769962335,11.5,,2007.0,2.4
227,7,3,0.1,1967.0,0.03785909881126137,1.0,1.0,25.0,5.7
233,7,3,13.79,2319.0,-0.004112810857807986,,1.9,152.0,2.1
237,7,1,13.79,7391.0,-0.08239275599840071,4.7,4.7,318.0,5.0
240,7,3,13.79,2753.0,-0.05645943896382702,4.7,4.7,318.0,5.0
241,2,0,6.89,1519.0,0.06115455023379045,12.7,42.3,1778.0,3.4
245,7,1,6.89,3513.0,0.01828052070694136,10.8,10.8,432.0,3.8
249,7,1,13.79,,-0.031902204876830265,,,,3.9
254,7,3,6.79,,-0.050643868364686956,10.8,10.8,432.0,7.7
258,7,1,13.79,1926.0,-0.014382980417856406,,4.6,295.0,3.2
260,2,1,6.89,1519.0,0.0646073593595093,,42.3,,2.3
261,10,3,18.96,1383.0,-0.16908091861212948,1.9,1.9,152.0,9.4
268,7,3,13.79,1063.0,-0.028485724836307263,,,318.0,3.9
271,8,3,13.79,332.0,0.029993244413913767,,11.1,457.0,1.2
273,7,3,3.45,3784.0,0.07801736524763615,10.3,10.3,762.0,2.2
280,7,3,13.79,1482.0,0.012955865713020404,7.8,7.8,591.0,2.0
282,2,1,,1505.0,0.07347408773854439,12.7,42.3,1778.0,2.0
285,7,3,12.0,4028.0,0.006665603708336021,10.0,,1650.0,3.8
288,10,0,9.69,5615.0,0.002322274101606736,6.4,15.9,914.0,3.7
292,7,3,6.89,,0.042665860968856356,10.3,10.3,762.0,2.4
293,7,3,10.34,7432.0,-0.09491229692863873,,10.3,762.0,7.3
294,7,3,18.27,2889.0,-0.0557274352688564,3.0,3.0,150.0,2.8
296,2,0,9.65,1519.0,0.012808905268479887,12.7,42.3,,3.4
303,7,3,13.79,2061.0,0.011744102250059452,7.7,,457.0,1.6
305,5,3,20.0,4028.0,-0.08649210943265975,10.0,10.0,,4.1
306,10,3,,4069.0,-0.00293896374646635,10.8,10.8,864.0,3.0
308,2,0,9.68,,0.02128203306237289,12.7,,914.0,2.7
316,2,0,6.92,762.0,0.04419569816451979,,24.6,1778.0,5.2
317,7,3,4.1,4055.0,0.049821194998057886,10.8,10.8,864.0,3.5
319,2,1,4.13,1478.0,0.07618386053393239,12.7,42.3,,2.3
321,7,3,3.45,,0.03393781498457629,,10.3,762.0,4.5
322,7,3,13.79,4096.0,-0.007345690762853102,,5.6,864.0,2.6
326,7,3,13.79,,-0.020820728927848253,4.6,4.6,295.0,2.9
327,9,3,,4071.0,0.05355543503169419,9.5,,1836.0,1.7
330,8,3,13.79,1682.0,-0.1498890558113391,7.7,7.7,457.0,10.6
333,10,3,10.34,5588.0,-0.020082726983830235,10.3,10.3,,4.0
338,0,1,15.51,1500.0,0.05945425510808347,5.6,15.2,2134.0,1.1
339,7,3,0.1,6212.0,-0.0313674277235127,1.7,1.7,43.0,7.9
340,7,3,3.83,4123.0,0.030973810424378162,10.8,10.8,432.0,3.9
341,10,3,13.79,1356.0,0.015854772164540315,7.7,7.7,457.0,1.8
342,2,0,9.68,2278.0,0.04146487401168791,12.7,42.3,1778.0,3.0
347,10,3,13.79,1383.0,0.03321405774023459,7.7,7.7,,1.6
348,2,0,6.87,2306.0,-0.06992288326858698,4.6,,1778.0,11.0
352,7,3,6.86,1899.0,0.042279022795807156,10.8,10.8,,3.3
355,7,3,,4611.0,-0.0214961540580354,10.3,10.3,794.0,5.0
358,7,3,6.89,5900.0,0.006374275566031817,10.3,10.3,794.0,3.9
361,8,3,13.79,694.0,0.0003501525387292481,7.7,7.7,457.0,2.8
362,10,3,13.79,2645.0,-0.0031352386614328376,7.7,7.7,,2.7
364,7,3,11.03,,0.00449691497957716,11.5,,914.0,3.6
369,7,1,13.79,4136.0,-0.03945090819257871,,4.7,318.0,3.8
371,8,3,13.79,685.0,0.008496304208698985,11.1,11.1,457.0,2.2
381,0,0,15.51,1356.0,0.061285583600655114,5.6,15.2,2134.0,1.2
383,10,3,13.79,4204.0,-0.03874626818470284,4.6,4.6,295.0,3.6
387,10,3,6.79,2034.0,0.03522312347859141,10.8,10.8,432.0,3.3
389,7,3,2.63,2753.0,0.07529623905594507,3.0,3.0,,3.2
397,7,1,10.34,3947.0,0.028090061102379493,10.3,,762.0,2.2
400,7,3,,3472.0,0.007334877180075305,1.9,1.9,696.0,3.5
402,10,1,,3665.0,0.019458016466581712,,15.2,,2.2
403,7,3,6.89,5249.0,-0.007002611968267902,,10.3,762.0,4.8
407,7,1,13.79,3757.0,-0.07480224173886896,4.7,4.7,305.0,5.9
415,7,1,6.89,5859.0,-0.03423439573821008,,10.3,794.0,6.4
417,3,2,0.1,1484.0,-0.01738899571861499,15.0,,10.0,8.0
426,7,3,3.86,,0.024001178189486994,10.8,,432.0,4.7
429,2,0,6.92,1533.0,0.11191665042027407,,22.3,2591.0,2.6
432,5,3,13.79,1655.0,0.010633425998329255,7.7,7.7,,1.8
434,7,3,6.86,4032.0,0.03795708131902967,10.8,10.8,,3.1
438,7,3,11.0,2034.0,0.01582635549476108,,11.5,914.0,3.2
440,2,0,6.89,2780.0,0.028754959671857733,12.7,38.1,737.0,3.1
441,2,0,6.89,553.0,0.04379842073204862,12.7,38.1,737.0,3.1
449,10,3,13.79,1316.0,-0.012147698582881006,3.6,3.6,76.0,2.9
450,10,3,13.79,3703.0,-0.017149682644390263,4.7,4.7,,3.6
455,7,3,6.89,6266.0,-0.07155947069963542,10.3,10.3,794.0,8.0
456,6,2,0.51,2000.0,-0.12707884592624652,15.0,120.0,10.0,10.8
458,7,3,,2034.0,0.01889379235711075,10.8,,432.0,3.4
459,10,3,6.89,734.0,0.04118187496116271,23.6,23.6,610.0,3.1
460,8,3,13.79,673.0,0.024566838535644397,,11.1,457.0,1.3
461,7,1,6.89,5533.0,0.008730364133877733,10.3,10.3,794.0,4.2
462,2,0,6.86,1519.0,0.11158796722785266,,22.3,2743.0,2.9
466,7,1,18.27,1214.0,-0.03699099919773058,3.0,3.0,35.0,2.5
468,8,3,13.79,686.0,0.00787377389194166,11.1,,457.0,2.2
469,7,1,6.72,4032.0,0.0673540176441966,,10.8,1727.0,3.2
472,2,1,,678.0,0.03913977384249842,6.4,15.9,914.0,2.8
475,8,3,13.79,677.0,0.012701650463008196,,7.7,457.0,2.1
477,7,3,13.79,3648.0,-0.0209507274295882,1.9,1.9,696.0,3.5
479,3,2,0.1,1668.0,0.02907250159204694,15.0,,10.0,5.4
486,10,3,15.51,5601.0,-0.13203246683635766,1.9,,152.0,7.2
487,10,3,,2061.0,0.0051989760393731654,7.8,7.8,591.0,2.9
488,7,3,18.96,2184.0,-0.029872188998075894,,1.9,696.0,2.2
489,7,3,6.86,4069.0,0.02987955969508005,10.8,10.8,864.0,3.4
491,7,3,13.79,2916.0,0.02167930032517751,7.8,7.8,591.0,1.0
495,7,3,6.89,3703.0,0.0029862138736230226,5.6,5.6,,5.5
502,0,0,6.93,2726.0,0.10290006050753614,5.6,15.2,2134.0,2.1
503,7,1,3.45,6157.0,-0.030485971910023946,3.6,3.6,76.0,6.7
504,7,3,13.79,1214.0,0.009249192586219646,7.8,7.8,591.0,2.3
506,7,3,12.07,2740.0,-0.05282669116818073,1.9,1.9,152.0,5.4
510,7,1,6.89,974.0,0.04279664125295968,4.7,4.7,318.0,3.5
511,7,3,13.79,1817.0,-0.009041108492867489,7.8,,591.0,3.0
513,7,3,13.79,1709.0,0.01142735915134624,7.8,7.8,591.0,2.0
515,0,0,13.79,3673.0,0.04074901350578389,5.6,15.2,2134.0,2.2
516,10,3,12.0,1000.0,-0.07123612744461863,10.0,10.0,,8.1
517,9,3,13.79,4073.0,0.027158615099833472,,,1836.0,2.1
521,7,1,6.89,3825.0,-0.00794649758761179,23.6,23.6,610.0,4.8
522,7,3,13.79,3838.0,-0.053514814604082306,1.9,1.9,152.0,4.3
525,7,3,3.86,2034.0,0.03585375258296239,,10.8,432.0,4.4
527,7,3,6.89,5398.0,0.005357113595883756,12.8,12.8,1930.0,5.9
530,1,3,0.64,6700.0,-0.03381067579657038,3.0,3.0,100.0,7.4
531,9,1,11.03,2666.0,0.058991949900180654,9.5,9.5,1836.0,2.6
534,8,3,13.79,2021.0,0.00979557825710256,7.7,7.7,457.0,1.8
539,10,3,,1356.0,-0.00039599551859270665,7.8,7.8,591.0,2.9
541,7,3,6.89,7893.0,-0.08689040024879974,10.3,,794.0,8.2
542,4,0,,1339.0,0.05461460525280354,5.0,13.3,2134.0,2.1
545,7,3,13.79,1641.0,-0.0766503956170303,,7.8,591.0,6.8
555,7,3,15.51,,-0.11141278143487854,1.9,1.9,152.0,6.8
559,2,1,6.89,1980.0,0.06056139829516485,,24.6,1778.0,3.7
562,10,1,6.72,,0.1099390414567699,10.8,10.8,1727.0,1.8
567,9,3,13.79,4083.0,0.007608468034307675,9.5,9.5,1836.0,3.4
570,7,1,6.79,4123.0,-0.011940535793339535,10.8,,432.0,5.3
571,7,3,6.89,1899.0,0.003547124612507002,10.8,10.8,432.0,4.9
574,8,3,13.79,1804.0,0.00531849976709306,,11.1,457.0,2.0
578,2,0,6.92,1519.0,0.09398320483546774,8.5,24.6,1778.0,2.2
579,10,0,13.79,,0.05284234381078454,5.6,15.2,2134.0,2.3
582,7,3,13.79,1339.0,0.011406561060055609,,,457.0,1.9
584,10,1,13.79,,-0.012414673465578785,4.7,,318.0,2.6
588,7,3,18.96,2184.0,-0.03696625387378949,1.9,1.9,696.0,2.7
594,7,3,0.1,,0.11986006465195102,1.0,1.0,1650.0,3.2
596,10,3,13.79,2604.0,-0.0023364065053672334,1.9,1.9,696.0,3.0
601,7,3,,5221.0,-0.028367572857252332,4.7,4.7,318.0,3.6
606,2,0,9.68,,0.017686557139533016,,15.9,914.0,3.1
608,7,3,6.79,4014.0,-0.05379439612547793,,10.8,216.0,7.0
609,7,3,13.79,1298.0,0.0031622563192227893,7.8,7.8,591.0,2.6
610,5,3,10.0,1944.0,0.011779545034844185,10.0,10.0,1000.0,4.0
611,0,0,15.51,,0.050180243055813284,5.6,15.2,2134.0,1.1
616,2,1,,,0.05171517148270316,12.7,42.3,1778.0,2.0
619,10,3,6.89,5289.0,-0.02394764565386756,10.3,10.3,794.0,5.9
620,7,3,6.89,6618.0,-0.018478646057166342,10.3,,762.0,4.9
621,7,3,12.07,2740.0,0.0007258891226134545,,1.9,152.0,2.4
623,7,3,13.79,2563.0,-0.03580829121688989,3.6,3.6,76.0,3.6
627,10,3,13.79,678.0,0.047887557041383755,7.7,7.7,,1.8
628,0,0,,3673.0,0.03313376896514142,5.6,,2134.0,3.2
630,7,3,12.34,4500.0,0.007589770618897346,3.0,3.0,,3.3
631,7,3,6.83,3838.0,0.033273795612241475,,10.8,,4.2
633,0,0,11.03,3677.0,0.0789808544214146,5.6,15.2,2134.0,1.3
642,10,3,,,-0.040875400039631166,10.8,10.8,,4.8
645,7,3,13.79,4774.0,-0.06826228279547186,4.7,4.7,318.0,4.9
647,7,3,12.07,3201.0,0.006633492984868372,1.9,1.9,696.0,2.9
649,8,3,13.79,1356.0,-0.03724592784215636,7.7,7.7,457.0,4.6
650,7,3,6.89,6795.0,-0.021116489688967816,10.3,10.3,,6.6
651,7,3,13.79,1286.0,-0.01366222034775913,,7.8,591.0,3.5
652,7,3,13.79,1383.0,-0.001417325277193654,7.8,,591.0,2.8
657,6,2,,1500.0,-0.0398495993325525,15.0,120.0,,5.2
658,7,3,6.89,4001.0,0.00039899605835527763,,10.3,,5.6
663,8,3,13.79,2007.0,0.0006899940549648098,7.7,7.7,457.0,2.3
667,10,3,6.86,3513.0,0.021007027500687503,10.8,10.8,432.0,3.5
671,0,0,8.27,3684.0,0.06749531691638215,5.6,15.2,2134.0,3.1
674,7,3,,1031.0,0.036377912775567456,1.9,1.9,152.0,2.8
677,9,3,13.79,1390.0,0.06997577669940656,9.5,9.5,1836.0,1.0
685,7,1,3.45,5967.0,0.011618609725239648,10.3,10.3,762.0,5.3
686,7,3,7.0,2102.0,0.06483621896207381,10.8,10.8,,2.6
688,7,3,,2889.0,-0.0706197669053463,,,152.0,6.8
689,5,3,12.0,4986.0,-0.026326447336700587,10.0,10.0,1000.0,4.1
690,7,3,6.93,1926.0,0.02776848304235857,10.8,10.8,216.0,3.2
693,6,3,0.1,1500.0,0.017321061729944298,15.0,120.0,1300.0,5.3
695,10,3,6.86,4055.0,0.048900315672474104,10.8,10.8,864.0,2.5
699,7,3,18.27,1221.0,-0.04042205609849284,3.0,,150.0,1.6
702,8,1,13.79,2658.0,0.0016898410509510464,7.7,7.7,457.0,2.3
705,7,3,13.79,1397.0,-0.017721532682446778,,4.7,305.0,3.3
706,8,3,13.79,1356.0,0.005088416510592664,7.7,7.7,457.0,2.3
713,7,3,13.79,2184.0,-0.002820515594262357,7.8,7.8,591.0,2.6
714,10,1,6.89,1533.0,0.10419339477536647,8.5,22.3,1829.0,2.0
721,7,3,,,0.024241159670736895,7.8,7.8,591.0,2.0
724,9,3,,,0.04819487837233205,9.5,9.5,1836.0,3.1
730,7,3,,1031.0,0.042287142280037715,10.8,10.8,,2.5
731,7,3,13.79,739.0,-0.08860473575553118,4.7,,318.0,7.2
733,10,0,15.51,,0.06718262196258329,5.6,,2134.0,1.2
734,7,3,6.89,4828.0,-0.005194224771804035,4.7,4.7,318.0,4.4
737,7,3,6.89,,0.009415546509566802,10.3,10.3,762.0,4.4
740,7,3,,5588.0,-0.03938144675445049,4.7,4.7,318.0,4.8
743,7,3,13.79,,-0.11612841619458797,4.7,4.7,318.0,8.0
748,7,3,11.03,4069.0,0.05899759334318483,9.3,9.3,1524.0,1.2
749,7,3,0.1,5642.0,0.004238129901296794,1.0,1.0,38.0,6.2
750,7,3,13.79,4882.0,-0.07451133965625681,4.7,4.7,318.0,5.2
752,7,3,6.93,,-0.015539137497289857,10.8,10.8,216.0,5.3
754,6,2,0.1,,-0.0165829847562379,,120.0,100.0,5.0
759,10,3,12.0,,-0.039340971071477965,10.0,10.0,660.0,5.2
760,9,3,13.79,2729.0,0.02258674410245934,9.5,9.5,,1.4
769,0,0,13.79,1356.0,0.045403639513678956,5.6,,2134.0,2.7
770,0,1,13.79,2726.0,0.015003944338850828,5.6,15.2,2134.0,3.8
774,7,3,,7893.0,-0.10427142160702374,10.3,10.3,762.0,8.4
776,4,0,8.27,1356.0,0.10415722561385216,5.0,13.3,2134.0,2.2
778,8,3,13.79,1370.0,-0.04285950929868895,7.7,7.7,457.0,4.9
780,0,0,15.51,2710.0,0.03302000530871135,,15.2,2134.0,2.2
781,9,3,15.17,1335.0,0.05214157515450171,9.5,9.5,1836.0,1.4
782,5,3,12.0,1000.0,-0.0034356251539799376,10.0,10.0,565.0,3.6
783,10,1,6.94,2807.0,0.0862294278656545,6.4,15.9,914.0,1.2
786,7,3,10.34,,-0.049700847237859946,,10.3,762.0,5.7
789,7,3,13.79,1899.0,0.006777003690919714,,7.8,591.0,2.2
790,10,3,6.89,,-0.01828441028271577,10.3,10.3,762.0,5.6
792,2,0,6.89,1533.0,0.07940432089003753,8.5,24.6,1778.0,3.0
793,0,0,13.79,2729.0,0.05817501450343432,5.6,15.2,2134.0,1.6
797,7,3,13.79,1980.0,-0.007836066727706897,1.9,1.9,696.0,3.4
798,10,3,6.89,3797.0,-0.0015885204662082208,23.6,23.6,610.0,4.3
800,2,0,6.85,,0.05260174473200699,12.7,38.1,,2.7
808,10,3,,1709.0,0.06776647542490022,7.8,7.8,591.0,1.0
810,7,1,6.89,6971.0,0.0063862410338455244,10.3,10.3,794.0,3.8
812,10,3,13.79,2441.0,0.007980192310607953,1.9,1.9,152.0,1.6
816,10,1,6.79,1763.0,0.057183852066331614,10.8,10.8,432.0,2.5
819,7,3,6.83,4062.0,0.015444962815696184,10.8,10.8,864.0,4.2
824,7,3,7.0,3865.0,0.004975407112081581,5.6,5.6,432.0,4.3
825,2,0,6.89,,0.03756947847298854,12.7,42.3,1778.0,3.8
831,7,1,13.79,5289.0,-0.06370956512199827,5.7,5.7,,6.2
832,7,3,6.89,7459.0,0.04427323053984823,37.5,37.5,1953.0,1.9
834,8,3,13.79,1383.0,-0.0006130012291827303,7.7,7.7,457.0,2.6
837,10,3,6.93,4055.0,0.024425719673941693,10.8,10.8,864.0,3.8
838,10,0,6.89,5547.0,0.012332661874089823,12.7,38.1,,4.2
840,7,3,18.96,2740.0,-0.05263182536861383,1.9,1.9,,4.7
842,7,3,6.89,3852.0,0.06359521818538806,23.6,,,1.4
843,10,3,11.0,3391.0,0.022439602540669012,11.5,11.5,,2.8
844,7,3,13.79,3608.0,-0.049338322272282464,4.7,4.7,318.0,4.3
845,7,3,13.79,1085.0,-0.006527369820200357,4.7,4.7,318.0,2.9
848,10,3,13.79,1356.0,0.008137359377227343,,7.8,591.0,2.4
851,7,3,13.79,2156.0,-0.03278060470720928,4.6,4.6,295.0,3.9
855,0,0,13.79,,0.04310824006724348,5.6,15.2,2134.0,2.2
858,7,3,10.0,1000.0,0.004652548733860951,10.0,10.0,565.0,4.1
860,7,1,,7269.0,0.031710775788786144,12.8,12.8,1930.0,2.9
861,7,3,6.89,4109.0,-0.030578446618883592,,23.6,610.0,5.9
864,7,3,6.79,3838.0,-0.15956951217204696,10.8,,216.0,12.7
865,7,3,15.51,3553.0,-0.041172740938903635,1.9,1.9,152.0,3.0
869,10,3,13.79,689.0,0.018530869676534723,7.7,7.7,457.0,1.9
873,2,0,9.65,5600.0,0.00750906597606954,6.4,15.9,914.0,3.1
875,7,3,,1383.0,0.02605144228163009,,7.8,591.0,1.9
881,0,1,,1352.0,0.07332181360900991,5.6,15.2,2134.0,2.2
884,2,0,6.89,3052.0,0.056261364741848605,8.5,24.6,1778.0,3.7
885,7,3,17.24,2007.0,-0.016623518257308734,1.9,1.9,,3.3
891,7,3,13.79,1817.0,0.0049215079796021965,,7.8,591.0,2.3
895,7,3,10.34,5967.0,-0.029517335469101347,10.3,10.3,762.0,4.3
896,2,0,6.98,382.0,0.07298370338364527,22.2,,1778.0,3.6
902,7,3,,2129.0,0.013911784560080243,7.8,7.8,,2.3
904,7,1,6.86,4069.0,0.020296030178148683,10.8,10.8,432.0,3.5
908,7,3,,1221.0,0.026594979037694866,3.0,3.0,35.0,2.4
914,10,3,,4069.0,0.030445245091735462,10.8,10.8,864.0,2.9
924,9,1,13.79,4054.0,0.046236635769131604,,9.5,1836.0,1.5
925,8,3,13.79,,-0.014681956086071535,1.9,1.9,152.0,2.7
926,9,3,13.79,,0.029175212150669427,,9.5,1836.0,2.9
928,7,1,13.79,1356.0,-0.2353413830742851,,7.7,457.0,15.6
933,9,3,13.79,2776.0,0.03669124623036611,9.5,9.5,1836.0,2.3
934,4,3,13.79,1358.0,0.054313401550912105,5.6,13.3,2134.0,2.1
935,7,1,,1492.0,0.030011238580370386,7.8,,591.0,2.3
937,7,3,6.89,2798.0,0.05237791968890286,12.8,12.8,1930.0,4.3
938,7,3,13.79,,-0.036693992621175286,4.7,4.7,318.0,4.1
939,7,3,6.89,959.0,0.015228473268659892,23.6,23.6,610.0,4.3
943,7,3,15.51,5384.0,-0.07746698858391732,1.9,1.9,152.0,4.3
950,10,3,6.89,3797.0,-0.024905640763001002,10.3,10.3,794.0,6.5
951,9,3,13.79,1340.0,0.04639183906762158,9.5,9.5,1836.0,2.3
955,10,3,18.27,842.0,-0.011920746146133449,3.0,3.0,150.0,1.3
960,10,3,13.79,1344.0,0.03690751257799314,11.1,,,1.5
961,7,3,12.07,3133.0,-0.08050486288356024,1.9,,152.0,6.7
968,0,0,15.51,3673.0,0.030921921985597234,5.6,15.2,2134.0,2.0
973,9,3,15.17,2680.0,0.04400306247842853,9.5,,1836.0,1.4
974,7,3,6.9,4048.0,0.013152070294586315,10.8,10.8,864.0,4.3
979,10,3,12.07,2672.0,0.021126665746304563,,1.9,696.0,2.3
982,7,3,13.79,,0.014693615050239361,7.8,7.8,591.0,1.9
984,7,1,13.79,2197.0,-0.013909953964481636,,1.9,152.0,3.0
987,7,3,3.45,7893.0,0.03555136142056889,10.3,10.3,762.0,3.0
991,7,3,13.79,,0.009887051329254493,4.7,4.7,,2.0
992,8,1,13.79,682.0,-0.010001295308292413,11.1,11.1,457.0,3.5
993,7,1,6.89,4054.0,-0.03148771961486607,,10.5,762.0,6.9
998,8,3,,673.0,0.03041668561934993,11.1,11.1,457.0,1.6
999,2,0,4.13,746.0,0.09912674564463766,12.7,42.3,1778.0,2.8
1003,8,3,13.79,1668.0,-0.034298269746049104,7.7,7.7,,4.8
1006,10,0,15.51,3679.0,0.033554229833707344,5.6,,2134.0,2.4
1007,8,3,13.79,,0.014631513013896924,11.1,11.1,457.0,1.3
1010,7,1,6.89,6781.0,0.0025861407653313684,5.6,5.6,432.0,3.7
1012,0,0,11.03,3665.0,0.03121499446893708,5.6,15.2,2134.0,3.9
1014,7,1,13.79,4259.0,-0.042814014148163604,4.7,4.7,318.0,4.0
1017,8,3,,1351.0,0.017752030284158588,7.7,7.7,457.0,2.2
1019,10,3,13.79,4092.0,0.01938615179576053,9.5,9.5,1836.0,2.8
1020,7,3,6.89,,0.06642862267626637,37.5,37.5,1953.0,2.9
1022,7,3,13.79,2102.0,-0.0005095177431710951,4.7,4.7,318.0,2.2
1024,10,3,3.83,3201.0,-0.019534390420783504,5.6,5.6,216.0,7.0
1026,7,3,11.0,4069.0,0.03654417220800102,,11.5,1524.0,2.4
1029,0,0,,1349.0,0.03438104315350346,5.6,,,2.7
1030,10,1,6.89,1356.0,0.09120443243891407,23.6,23.6,1972.0,2.7
1033,7,1,,2034.0,0.017310793118629236,,7.8,591.0,3.0
1036,7,3,6.89,6117.0,-0.0005990679903847551,10.3,10.3,794.0,4.2
1038,0,0,15.51,3701.0,0.03625596376291346,5.6,15.2,2134.0,1.7
1040,7,3,13.79,5262.0,-0.1305777630369171,,5.7,625.0,8.5
1042,7,3,3.9,2034.0,0.01450636861640206,10.8,,432.0,5.6
1044,7,3,6.89,3648.0,0.004061884179667241,10.3,10.3,762.0,4.8
1046,7,1,17.24,3052.0,-0.032052440888776706,1.9,,696.0,2.9
1050,8,3,,1383.0,0.030962952952226785,7.7,7.7,,3.6
1056,7,3,3.96,4123.0,0.019766989807337904,5.6,5.6,432.0,4.7
1058,5,3,,,0.05022834837542936,,10.0,400.0,2.2
1064,7,1,,1465.0,-0.009893609268372183,7.7,7.7,457.0,4.5
